Classement,Pokémon,Nombre de votes,% de joueurs ayant vote pour
892,Granivol,15,"0,08%"
893,Khelocrok,15,"0,08%"
894,Tadmorv,15,"0,08%"
895,Rattata d'Alola,15,"0,08%"
896,Cocotine,15,"0,08%"
897,Coxy,14,"0,08%"
898,Miradar,14,"0,08%"
899,Rattatac d'Alola,14,"0,08%"
900,Snubbull,14,"0,08%"
901,Barloche,14,"0,08%"
902,Larvadar,14,"0,08%"
903,Cheniselle,14,"0,08%"
904,Mamanbo,14,"0,08%"
905,Ortide,14,"0,08%"
906,Tournicoton,14,"0,08%"
907,Lilia,14,"0,08%"
908,Colombeau,14,"0,08%"
909,Ouvrifier,14,"0,08%"
910,Groret,13,"0,07%"
911,Blindalys,13,"0,07%"
912,Carabing,13,"0,07%"
913,Wagomine,13,"0,07%"
914,Charibari,13,"0,07%"
915,Ptiravi,13,"0,07%"
916,Persian d'Alola,13,"0,07%"
917,Piafabec,13,"0,07%"
918,Poissoroy,13,"0,07%"
919,Armulys,13,"0,07%"
920,Floravol,13,"0,07%"
921,Argouste,12,"0,07%"
922,Ratentif,12,"0,07%"
923,Coconfort,12,"0,07%"
924,Remoraid,12,"0,07%"
925,Tadmorv d'Alola,12,"0,07%"
926,Fluvetin,11,"0,06%"
927,Tarinor,11,"0,06%"
928,Lumivole,11,"0,06%"
929,Moufouette,11,"0,06%"
930,Taupiqueur d'Alola,11,"0,06%"
931,Poissirene,11,"0,06%"
932,Muciole,11,"0,06%"
933,Manglouton,10,"0,06%"
934,Opermine,9,"0,05%"
935,Noeunoeuf,8,"0,04%"
936,Hastacuda,8,"0,04%"
